Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 25 or older,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",abcnews.go.com,Google Ad Manager,Apple PC,10524,55,7601,10242,11,6136.133902
Online Behavior>United States>Finance » Financial Planning and Management>Retirement and Pension,320x50,Sign up Today - 10% Off,"Orlando-Daytona Beach, Florida",accuweather.com,PubMatic,Smartphone,18324,60,3145,13703,8,6996.231838
Online Behavior>United States>Hobbies and Leisure>Outdoors » Equestrian,300x250,Subscribe Today - 10% Discount,"San Francisco, California",accuweather.com,Google Ad Manager,Smartphone,7862,20,2152,6039,2,6506.433687
Online Behavior>United States>Intent » Auto Buyers » Car Make>Audi Q,300x250,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",accuweather.com,Xandr - Monetize SSP (AppNexus),Smartphone,10501,90,4126,7654,8,6244.517921
Online Behavior>United States>Beauty and Fitness>Fitness » Fitness Instruction and Personal Training,300x250,Sign up Now - 10% Off,"Chicago, Illinois",accuweather.com,Magnite DV+,Apple PC,23156,73,4468,18821,15,6173.41289
Online Behavior>United States>Autos and Vehicles » Brands>Jeep,320x50,Sign up Now - 10% Off,"Los Angeles, California",accuweather.com,Google Ad Manager,Smartphone,23711,69,4337,17211,8,5740.952219
Online Behavior>United States>Autos and Vehicles » Brands>Mercedes-Benz,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",accuweather.com,PubMatic,Smartphone,23965,270,13608,21704,12,5706.864417
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Males 18-54,300x250,Sign up Now - 10% Off,"Nashville, Tennessee",accuweather.com,Google Ad Manager,Smartphone,14730,88,1272,12427,3,5190.535998
Online Behavior>United States>Validated Demographic » Age>55-64,300x250,10% Discount - Ends 6/1,"Champaign & Springfield-Decatur,Illinois",accuweather.com,Magnite DV+,Smartphone,36863,116,3570,29458,15,4752.816685
US » Interest Propensities » Brands » Quick Service Restaurants,320x50,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",accuweather.com,BidSwitch,Smartphone,213699,270,18395,164487,4,2194.987125
US » B2B » B2B Decision Maker Responsibilities » Purchasing Utilities,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",accuweather.com,OpenX,Smartphone,49936,126,25461,44751,13,2025.784019
US » Interest Propensities » TV and Movies » Sports TV,300x250,Sign up Today - 10% Off,"Los Angeles, California",accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,1970.357345
Real Estate » Occupancy » Owner Occupied,300x250,Sign up Now - 10% Off,"Chicago, Illinois",accuweather.com,Google Ad Manager,Windows PC,49250,220,9205,43535,15,1694.470977
US Financial » Likely Credit Card » Card in Own Name » Any major Credit/Debit Card (Financial),300x250,Subscribe Today - 10% Discount,"San Francisco, California",accuweather.com,BidSwitch,Smartphone,10811,25,988,2975,3,1679.833815
Online Behavior>United States>People and Society>Millennials,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",accuweather.com,BidSwitch,Smartphone,23829,75,8326,18812,5,1534.698
OnAudience » Intent » Electronics » Video » Televisions,320x50,10% Discount - Ends 6/1,"Los Angeles, California",accuweather.com,OpenX,Smartphone,19826,39,6511,15752,10,1447.873298
"Online Behavior>United States>Arts and Entertainment>Events and Listings » Bars, Clubs and Nightlife",300x250,10% Discount - Ends 6/1,"Chicago, Illinois",activebeat.com,Magnite DV+,Windows PC,81905,220,61995,71110,24,7065.66928
US » Interest Propensities » Activities and Interests » Local News,320x50,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",activebeat.com,Magnite DV+,Smartphone,16151,54,4360,11358,3,1706.224318
US » Reach » Sociodemographic » Dwelling Type » Multi-family Dwelling Unit,300x50,Sign up Now - 10% Off,"San Francisco, California",activebeat.com,BidSwitch,Smartphone,68704,185,31283,59462,16,1605.566031
OnAudience » Intent » Software » Video Game Software,300x250,Sign up Today - 10% Off,"San Francisco, California",activebeat.com,Google Ad Manager,Windows PC,76439,100,58269,66924,8,1524.810224
Online Behavior>United States>B2B » Occupation>Musician,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",ajc.com,Xandr - Monetize SSP (AppNexus),Windows PC,17833,61,8670,16871,10,4899.155955
Lotame » Travel » Summer Travel,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",ajc.com,Google Ad Manager,Apple PC,16719,35,9944,15714,13,1588.6475
US » Home and Garden Interests » Cooking » Food Enthusiasts,320x50,Subscribe Today - 10% Discount,"Ft. Myers-Naples, Florida",ajc.com,PubMatic,Smartphone,12592,63,7472,11687,4,1521.185189
US » Demo » Age » 55-64,300x250,Sign up Today - 10% Off,"Grand Rapids-Kalamazoo, Michigan",ajc.com,Magnite DV+,Smartphone,14136,88,4683,13273,3,1476.536841
Online Behavior>United States>Intent » Auto Buyers » Type>Luxury,320x50,Sign up Now - 10% Off,"Los Angeles, California",al.com,PubMatic,Smartphone,14489,37,12453,13873,10,6195.840734
US » Brand Propensities » Media and Entertainment » wwe.com Buyer Propensity,300x250,Sign up Now - 10% Off,"Ft. Myers-Naples, Florida",allrecipes.com,Google Ad Manager,Windows PC,20348,101,14945,19548,6,1596.552373
Online Behavior>United States>Sports>Sports League » NFL,320x50,Sign up Now - 10% Off,"Los Angeles, California",alotfinance.com,OpenX,Smartphone,40447,177,16663,29774,12,5083.886273
Online Behavior>United States>Intent » Auto Buyers » Car Make>Volkswagen,300x250,Sign up Today - 10% Off,"Chicago, Illinois",androidauthority.com,PubMatic,Smartphone,14451,50,5606,13461,8,6397.602518
US » B2B » B2B Decision Maker Responsibilities » Financial Services,300x250,Sign up Now - 10% Off,"New York City, New York",androidpolice.com,Taboola,Apple PC,11668,110,7860,11009,5,2653.981579
Online Behavior>United States>Sports>Team Sports » Basketball,300x250,Sign up Today - 10% Off,"New York City, New York",aol.com,PubMatic,Windows PC,19379,49,12168,16616,97,7294.100001
US » Interest Propensities » Music » Country,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",aol.com,Google Ad Manager,Smartphone,8716,40,6490,7862,2,2100.820137
Media and Entertainment » Sports and Recreational Activities » Interest (Affinity) » Team Sports » Baseball » Major League Baseball (MLB),300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",aol.com,OpenX,Smartphone,11062,78,6539,9391,2,1500.09932
Online Behavior>United States>Beauty and Fitness>Face and Body Care » Skin and Nail Care,300x50,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,BidSwitch,Smartphone,100800,185,14473,85424,10,7004.730483
US » Interest Propensities » Activities and Interests » Financial Aid,300x250,10% Discount - Ends 6/1,"Los Angeles, California",apnews.com,Google Ad Manager,Smartphone,12864,84,5549,11852,5,1905.889693
